agent_3,graph20-20-1rand,0
agent_1,graph20-20-1rand,0
agent_2,graph20-20-1rand,0
agent_4,graph20-20-1rand,0
agent_5,graph20-20-1rand,0
agent_6,graph20-20-1rand,0
agent_7,graph20-20-1rand,0
agent_8,graph20-20-1rand,0
agent_9,graph20-20-1rand,0
agent_10,graph20-20-1rand,0
agent_11,graph20-20-1rand,0
agent_12,graph20-20-1rand,0
agent_13,graph20-20-1rand,0
agent_14,graph20-20-1rand,0
agent_15,graph20-20-1rand,0
agent_16,graph20-20-1rand,0
agent_17,graph20-20-1rand,0
agent_18,graph20-20-1rand,0
agent_19,graph20-20-1rand,0
agent_20,graph20-20-1rand,0
