agent_8,tanglegram6,297
agent_18,tanglegram6,196
agent_13,tanglegram6,298
agent_3,tanglegram6,97
agent_20,tanglegram6,198
agent_6,tanglegram6,498
agent_19,tanglegram6,298
agent_12,tanglegram6,297
agent_4,tanglegram6,194
agent_9,tanglegram6,496
agent_5,tanglegram6,399
agent_2,tanglegram6,397
agent_1,tanglegram6,196
agent_11,tanglegram6,297
agent_15,tanglegram6,293
agent_16,tanglegram6,196
agent_10,tanglegram6,498
agent_7,tanglegram6,298
agent_14,tanglegram6,298
agent_17,tanglegram6,297
